F Weight Lower,F Weight Upper,F Wing Lower,F Wing Upper,M Weight Lower,M Weight Upper,M Wing Lower,M Wing Upper,Species Code
0,0,319,361,0,0,323,367,COSH
0,0,0,0,0,0,0,0,COTE
7,15,45,58,8,15,50,61,COYE
0,0,0,0,0,0,0,0,CPOC
0,0,0,0,0,0,0,0,CRAU
0,0,0,0,0,0,0,0,CRCA
0,0,0,0,0,0,0,0,CRMU
92,140,0,0,92,140,0,0,CRMY
0,0,119,137,0,0,119,137,CRPL
0,0,0,0,0,0,0,0,CRTE
0,0,93,101,0,0,97,105,CRTH
0,0,0,0,0,0,0,0,CSOW
0,0,53,62,0,0,55,66,CSSS
7,13,56,65,8,15,59,68,CSWA
0,0,0,0,0,0,0,0,CUGR
0,0,0,0,0,0,0,0,CUPE
0,0,121,130,0,0,119,128,CUSA
0,0,200,219,0,0,205,225,CWWI
0,0,0,0,0,0,0,0,DCCO
0,0,72,82,0,0,76,86,DCFL
0,0,69,78,0,0,77,86,DICK
0,0,0,0,0,0,0,0,DOPR
0,0,0,0,0,0,0,0,DOVE
21,37,84,113,22,39,86,115,DOWO
0,0,0,0,0,0,0,0,DSFL
0,0,0,0,0,0,0,0,DSSP
9,11,61,70,9,11,63,73,DUFL
40,72,106,128,40,72,102,125,DUNL
0,0,0,0,0,0,0,0,DUTH
0,0,0,0,0,0,0,0,DUWA
24,35,91,104,25,40,95,109,EABL
0,0,0,0,0,0,0,0,EAGR
0,0,106,120,0,0,113,128,EAKI
70,107,96,116,99,139,109,130,EAME
15,23,76,89,17,25,79,91,EAPH
0,0,183,200,0,0,181,205,EAQU
140,221,140,181,140,221,134,174,EASO
27,51,72,87,30,52,76,94,EATO
11,17,75,86,12,18,78,90,EAWP
0,0,0,0,0,0,0,0,ECDO
0,0,0,0,0,0,0,0,EGWT
35,44,102,114,35,44,100,113,ELOW
0,0,0,0,0,0,0,0,ELTE
0,0,123,138,0,0,127,139,ELTR
0,0,349,390,0,0,362,403,EMGO
0,0,0,0,0,0,0,0,EMPE
0,0,65,71,0,0,67,74,ETSP
21,27,0,0,21,27,0,0,EUBU
0,0,141,157,0,0,135,151,EUDO
13,17,0,0,13,17,0,0,EUGO
0,0,0,0,0,0,0,0,EUGP
0,0,0,0,0,0,0,0,EUKE
61,93,117,133,65,96,124,138,EUST
0,0,0,0,0,0,0,0,EUWI
0,0,0,0,0,0,0,0,EUWO
43,73,100,114,39,86,105,117,EVGR
22,31,70,80,24,33,73,83,EWCS
43,71,147,167,40,76,149,179,EWPW
0,0,0,0,0,0,0,0,EWWA
0,0,0,0,0,0,0,0,EYTH
0,0,72,80,0,0,74,83,EYWA
0,0,0,0,0,0,0,0,FADU
0,0,0,0,0,0,0,0,FAPE
0,0,0,0,0,0,0,0,FAPR
0,0,89,100,0,0,91,104,FCTA
0,0,434,466,0,0,417,446,FEHA
0,0,91,103,0,0,85,97,FEPO
0,0,308,332,0,0,311,334,FFSH
0,0,0,0,0,0,0,0,FGSP
195,304,254,288,260,332,260,310,FICR
0,0,0,0,0,0,0,0,FIEL
10,16,54,66,10,16,61,72,FISP
106,144,138,175,109,141,140,177,FLIN
0,0,124,145,0,0,122,138,FLOW
0,0,102,118,0,0,105,122,FLSJ
28,49,73,87,28,49,76,93,FOSP
0,0,0,0,0,0,0,0,FOTE
0,0,0,0,0,0,0,0,FRGU
0,0,63,72,0,0,67,76,FSSP
0,0,100,107,0,0,104,120,FTFL
0,0,147,167,0,0,144,163,FTSP
0,0,0,0,0,0,0,0,FTWA
0,0,194,222,0,0,198,224,FUWD
0,0,0,0,0,0,0,0,GABU
0,0,0,0,0,0,0,0,GADW
0,0,0,0,0,0,0,0,GAEL
0,0,0,0,0,0,0,0,GAGR
0,0,0,0,0,0,0,0,GALP
0,0,0,0,0,0,0,0,GARG
0,0,126,142,0,0,131,157,GBAN
0,0,0,0,0,0,0,0,GBBG
0,0,0,0,0,0,0,0,GBHE
0,0,0,0,0,0,0,0,GBMA
0,0,0,0,0,0,0,0,GBSP
0,0,0,0,0,0,0,0,GBTE
0,0,80,106,0,0,87,109,GCBT
0,0,92,105,0,0,96,115,GCFL
5,8,50,58,5,9,53,62,GCKI
0,0,95,106,0,0,99,111,GCRF
26,38,71,81,26,38,76,84,GCSP
17,50,93,106,17,50,96,110,GCTH
0,0,58,65,0,0,61,69,GCWA
0,0,51,55,0,0,55,65,GCYE
0,0,0,0,0,0,0,0,GEPE
0,0,130,141,0,0,131,144,GFWO
0,0,419,465,0,0,402,447,GGOW
0,0,0,0,0,0,0,0,GHAL
0,0,0,0,0,0,0,0,GHCH
0,0,72,82,0,0,76,87,GHJU
0,0,331,408,0,0,313,384,GHOW
0,0,140,153,0,0,141,153,GIFL
0,0,122,133,0,0,127,138,GIWO
0,0,82,90,0,0,80,88,GKIN
0,0,113,123,0,0,117,128,GKIS
0,0,0,0,0,0,0,0,GLGU
0,0,0,0,0,0,0,0,GLIB
0,0,0,0,0,0,0,0,GNLA
0,0,595,680,0,0,551,631,GOEA
0,0,0,0,0,0,0,0,GOLW
0,0,0,0,0,0,0,0,GOWE
62,73,130,157,62,73,133,159,GRAJ
0,0,107,119,0,0,113,125,GRAK
0,0,0,0,0,0,0,0,GRAT
0,0,0,0,0,0,0,0,GRAW
0,0,0,0,0,0,0,0,GRBU
28,46,81,95,30,50,83,99,GRCA
0,0,0,0,0,0,0,0,GRCO
0,0,0,0,0,0,0,0,GREA
0,0,0,0,0,0,0,0,GREG
66,92,107,118,66,92,110,122,GREJ
