"Species","PseudoSpeciesType","SpeciesDescriptionMBO","SpeciesDescriptionCMMN","SpeciesFrench","SpeciesScientific","AOUOrder","AOSCode","MBOBandingList","DETOrder","MBOMasterDETList","DETTempOrder","WingMaxMale","WingMinMale","WingMaxFemale","WingMinFemale","WeightMaxMale","WeightMinMale","WeightMaxFemale","WeightMinFemale","WingValidate","WeightValidate","MaxMultiCaptureSpan","SpeciesCategoryID","SpeciesDescriptionMBOPrefix","BandingSummaryOrder","SpeciesEnglish","SpeciesFrenchEx","SpeciesScientificEx","AOUTempOrder","PriorityCategory","SpeciesGroupID","SpeciesEnglishShort","SpeciesCode","SpeciesGroupsMBOChecklistID","SpeciesGroupSpeciesObservedAtMBOID"
"GCFL","Species","Great Crested Flycatcher","Great Crested Flycatcher","Tyran huppé","Myiarchus crinitus",108.00,"4520",1,87.00,1,87,107,92,107,92,0,0,0,0,1,0,1165,8,"**",28.00,,,,108.00,,5,"Great Crest. Flycatcher",,18,10
"GCKI","Species","Golden-crowned Kinglet","Golden-crowned Kinglet","Roitelet à couronne dorée","Regulus satrapa",148.00,"7480",1,107.00,1,107,61,54,59,52,9,5,8,5,1,0,5,14,,53.00,,,,148.00,"D",9,"Golden-cr. Kinglet",,24,14
"GCTH","Species","Gray-cheeked Thrush","Gray-cheeked Thrush","Grive à joues grises","Catharus minimus",153.00,"7570",1,122.00,1,122,110,93,110,93,50,17,50,17,1,0,13,15,,56.00,,,,153.00,"A",10,,,25,16
"GGOW","Species","Great Gray Owl","Great Gray Owl","Chouette lapone","Strix nebulosa",92.00,"3700",0,199.00,1,199,447,402,465,419,0,0,0,0,0,0,,6,,,,,,92.00,,4,,,13,7
"GHOW","Species","Great Horned Owl","Great Horned Owl","Grand-duc d'Amérique","Bubo virginianus",88.00,"3750",1,66.00,1,66,384,313,408,331,0,0,0,0,0,0,,6,"*",,,,,88.00,,4,,,13,7
"GLGU","Species","Glaucous Gull","Glaucous Gull","Goéland bourgmestre","Larus hyperboreus",,,0,237.00,1,237,,,,,,,,,0,0,,,,,,,,,,2,,,10,4
"GOEA","Species","Golden Eagle","Golden Eagle","Aigle royal","Aquila chrysaetos",77.00,"3490",0,55.00,1,55,631,551,680,595,0,0,0,0,0,0,,2,,,,,,77.00,,4,,,6,6
"GRCA","Species","Gray Catbird","Gray Catbird","Moqueur chat","Dumetella carolinensis",159.00,"7040",1,117.00,1,117,94,82,94,82,50,30,46,28,1,0,2633,16,"**",64.00,,,,159.00,,10,,,26,16
"GREG","Species","Great Egret","Great Egret","Grande Aigrette","Ardea alba",72.00,"1960",0,50.00,1,50,0,0,0,0,0,0,0,0,0,0,,,,,,,,72.00,,2,,,4,2
"GRHE","Species","Green Heron","Green Heron","Héron vert","Butorides virescens",73.00,"2010",0,51.00,1,51,0,0,0,0,0,0,0,0,0,0,,28,"*",9.50,,,,73.00,,2,,,4,2
