"Species","PseudoSpeciesType","SpeciesDescriptionMBO","SpeciesDescriptionCMMN","SpeciesFrench","SpeciesScientific","AOUOrder","AOSCode","MBOBandingList","DETOrder","MBOMasterDETList","DETTempOrder","WingMaxMale","WingMinMale","WingMaxFemale","WingMinFemale","WeightMaxMale","WeightMinMale","WeightMaxFemale","WeightMinFemale","WingValidate","WeightValidate","MaxMultiCaptureSpan","SpeciesCategoryID","SpeciesDescriptionMBOPrefix","BandingSummaryOrder","SpeciesEnglish","SpeciesFrenchEx","SpeciesScientificEx","AOUTempOrder","PriorityCategory","SpeciesGroupID","SpeciesEnglishShort","SpeciesCode","SpeciesGroupsMBOChecklistID","SpeciesGroupSpeciesObservedAtMBOID"
"GRSC","Species","Greater Scaup","Greater Scaup","Fuligule milouinan","Aythya marila",21.00,"1480",0,14.00,1,14,0,0,0,0,0,0,0,0,0,0,,,,,,,,21.00,,1,,,1,1
"GRSP","Species","Grasshopper Sparrow","Grasshopper Sparrow","Bruant sauterelle","Ammodramus savannarum",,,0,234.00,1,234,,,,,,,,,0,0,,,,,,,,,,,,,,
"GRYE","Species","Greater Yellowlegs","Greater Yellowlegs","Grand Chevalier","Tringa melanoleuca",58.00,"2540",0,40.00,1,40,198,177,200,179,0,0,0,0,0,0,,,,,,,,58.00,,2,,,9,3
"GSGO","Subspecies","Greater Snow Goose","Greater Snow Goose","Grande Oie des neiges","Anser caerulescens atlanticus",2.00,"1699",0,1.00,1,1,479,412,471,397,0,0,0,0,0,0,,,,,,,,2.00,,1,,,1,1
"GWFG","Species","Greater White-fronted Goose","Greater White-fronted Goose","Oie rieuse","Anser albifrons",5.00,"1710",0,194.00,1,194,465,367,450,351,0,0,0,0,0,0,,,,,,,,5.00,,1,,,1,1
"GWWA","Species","Golden-winged Warbler","Golden-winged Warbler","Paruline à ailes dorées","Vermivora chrysoptera",204.00,"6420",1,218.00,1,218,67,57,63,54,12,7,11,7,0,0,731,18,,71.00,,,,204.00,,11,,,29,17
"HAWO","Species","Hairy Woodpecker","Hairy Woodpecker","Pic chevelu","Dryobates villosus",102.00,"3930",1,73.00,1,73,127,117,126,114,89,62,79,56,1,0,3584,7,"**",22.00,,,,102.00,"D",3,,,16,8
"HERG","Species","Herring Gull","Herring Gull","Goéland argenté","Larus argentatus",60.00,"0510",0,43.00,1,43,0,0,0,0,0,0,0,0,0,0,,,,,,,,60.00,,2,,,10,4
"HETH","Species","Hermit Thrush","Hermit Thrush","Grive solitaire","Catharus guttatus",156.00,"7590",1,125.00,1,125,97,82,97,82,37,26,33,24,1,0,367,15,,59.00,,,,156.00,"D",10,,,25,16
"HOFI","Species","House Finch","House Finch","Roselin familier","Haemorhous mexicanus",169.00,"5190",1,134.00,1,134,82,72,80,71,26,18,26,18,1,0,1092,22,,123.00,,,,169.00,,13,,,33,19
"HOLA","Species","Horned Lark","Horned Lark","Alouette hausse-col","Eremophila alpestris",129.00,"4740",0,99.00,1,99,113,103,111,99,44,26,44,26,1,0,41,11,,,,,,129.00,,,,,21,21
"HOME","Species","Hooded Merganser","Hooded Merganser","Harle couronné","Lophodytes cucullatus",28.00,"1310",0,18.00,1,18,0,0,0,0,0,0,0,0,0,0,,,,,,,,28.00,,1,,,1,1
"HORE","Species","Hoary Redpoll","Hoary Redpoll","Sizerin blanchâtre","Acanthis hornemanni",172.00,"5270",1,191.00,1,191,90,68,87,67,16,10,16,10,0,0,1,22,,126.00,,,,172.00,,13,,,33,19
"HOSP","Species","House Sparrow","House Sparrow","Moineau domestique","Passer domesticus",165.00,"6882",1,130.00,1,130,85,71,81,67,35,20,35,21,0,0,489,23,"**",129.00,,,,165.00,,12,,,34,21
"HOWA","Species","Hooded Warbler","Hooded Warbler","Paruline à capuchon","Setophaga citrina",213.00,,1,213.00,1,213,,,,,,,,,0,0,,18,,79.50,,,,213.00,,11,,,29,17
"HOWR","Species","House Wren","House Wren","Troglodyte familier","Troglodytes aedon",142.00,"7210",1,112.00,1,112,54,48,53,46,13,9,12,8,1,0,2282,13,"**",49.00,,,,142.00,,9,,,23,15
"HUWH","Species","Hudsonian Whimbrel","Hudsonian Whimbrel","Courlis hudsonien","Numenius hudsonicus",,,0,236.00,1,236,,,,,,,,,0,0,,,,,,,,,,2,,,,3
"HYWA","Hybrid","Hybrid Warbler",,"Paruline hybride","Hybrid Warbler",232.00,"6366",1,214.00,1,214,,,,,,,,,0,0,,18,,98.00,,,,232.00,,11,,,29,17
"ICGU","Species","Iceland Gull","Iceland Gull","Goéland arctique","Larus glaucoides",61.00,"0430",0,223.00,1,223,0,0,0,0,0,0,0,0,0,0,,,,,,,,61.00,,2,,,10,4
"INBU","Species","Indigo Bunting","Indigo Bunting","Passerin indigo","Passerina cyanea",236.00,"5980",1,190.00,1,190,70,59,65,58,22,12,20,10,1,0,2887,30,"**",120.00,,,,236.00,,13,,,31,22
"KILL","Species","Killdeer","Killdeer","Pluvier kildir","Charadrius vociferus",47.00,"2730",1,34.00,1,34,167,151,170,154,130,30,130,30,0,0,0,,,,,,,47.00,,2,,,9,3
"LALO","Species","Lapland Longspur",,"Plectrophane lapon","Calcarius lapponicus",177.00,"5360",0,222.00,0,222,99,87,95,85,,,,,1,0,24,,,,,,,177.00,,,,,,
"LAWA","Hybrid","Lawrence's Warbler","Lawrence's Warbler","Paruline de Lawrence",,,,1,232.00,1,232,,,,,,,,,0,0,,18,,,,,,,,11,,,,
"LEBI","Species","Least Bittern","Least Bittern","Petit Blongios",,70.00,,0,228.00,1,228,,,,,,,,,0,0,,,,,,,,70.00,,2,,,4,2
"LEFL","Species","Least Flycatcher","Least Flycatcher","Moucherolle tchébec","Empidonax minimus",116.00,"4670",1,85.00,1,85,67,56,67,56,16,8,15,7,1,0,5,8,"*",34.00,,,,116.00,"C",5,,,18,10
